,Unnamed: 0_x,log_date,item_id,food_time,food_type,log_time,energy_x,protein_x,carbohydrate_x,lipid_fat_x,item_unit,item_quantity_x,created_by,Unnamed: 0_y,trainer_code,user_code,full_name,gender,birth_date,email_id,phone_number,user_point,password,terms_and_conditions,user_height,user_weight,target_weight,weight_changed_on,height_changed_on,frequently_exercise,food_mostly_eaten_at,cuisine_ids,spent_on_meal,diet_plan,default_diet_plan,medical_condition_ids,allergic_condition_ids,is_profile_completed,profile_image,social_profile_image,user_location,is_active,Unnamed: 0,fdc_id,item_name,ndb_number,upc_number,manufacture,food_category,source,energy_y,protein_y,cholesterol,carbohydrate_y,lipid_fat_y,description,item_quantity_y,is_detail_available,food_type_x,energy,protein,carbohydrate,lipid_fat,item_unit_x,item_quantity,recipe_id,recipe_name,recipeSummary,num_of_serving,serving_size,item_unit_y,recipe_weight,recipe_type_id,recipe_notes,prepare_time,total_carbohydrate,total_protein,total_energy,total_lipid_fat,recipe_image,food_type_y
10,23,2024-01-13,FI100047,1,food_item,5,133.0,32.98,3.96,15.24,1 slice,178.0,U100088,88,T100088,U100088,Thomas Lee,male,"time.struct_time(tm_year=2004, tm_mon=8, tm_mday=28, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=5, tm_yday=241, tm_isdst=-1)",anthony14@example.org,790-224-0575x958,7532,89198,1,66,103,92,0,0,do_not,restaurant,43,Less than $5,2,436,0,1,1,https://placekitten.com/254/788,https://picsum.photos/37/641,Asia/Ust-Nera,1,47,FI100047,Sushi,450047.0,5051379019227.0,Fresh & Easy,BBQ & Cheese Sauce,usda,170.0,2.5,25.0,23.92,21.23,Show ask determine around say bar anyone.,100.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
11,8,2024-01-06,FI100046,1,food_item,11,184.0,37.27,38.8,42.83,ml,99.0,U100027,27,T100027,U100027,Sara Oneill,female,"time.struct_time(tm_year=1942, tm_mon=10, tm_mday=13, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=286, tm_isdst=-1)",vazquezamy@example.org,(773)257-2571x82758,5884,80527,1,69,116,81,1000027,1000027,do_not,restaurant,414,$5-$9.99,1,1447,0,1,1,https://placekitten.com/526/381,https://dummyimage.com/754x558,Australia/Sydney,1,46,FI100046,Pasta,450046.0,5051379015254.0,Fresh & Easy,Ice Cream & Frozen Yogurt,usda,100.0,0.0,0.0,16.75,39.11,Who crime common provide big raise north finally.,100.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
12,13,2024-01-18,FI100035,1,food_item,8,141.0,32.35,46.94,0.14,1 medium,171.0,U100027,27,T100027,U100027,Sara Oneill,female,"time.struct_time(tm_year=1942, tm_mon=10, tm_mday=13, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=286, tm_isdst=-1)",vazquezamy@example.org,(773)257-2571x82758,5884,80527,1,69,116,81,1000027,1000027,do_not,restaurant,414,$5-$9.99,1,1447,0,1,1,https://placekitten.com/526/381,https://dummyimage.com/754x558,Australia/Sydney,1,35,FI100035,Shrimp Scampi,450035.0,5051379022481.0,Fresh & Easy,BBQ & Cheese Sauce,usda,107.0,2.5,25.0,10.04,23.25,Far line the organization live together brother lawyer.,100.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
13,62,2024-01-07,FI100035,1,food_item,13,234.0,13.16,31.64,7.74,1 medium,146.0,U100003,3,T100003,U100003,Deanna Ewing,female,"time.struct_time(tm_year=1942, tm_mon=6, tm_mday=10, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=161, tm_isdst=-1)",ryanmyers@example.org,768.942.4767,20547,47387,0,66,129,58,0,1000003,1_3_days,home,148,$5-$9.99,2,881,0,3,0,https://placekitten.com/657/740,https://picsum.photos/779/431,Asia/Brunei,1,35,FI100035,Shrimp Scampi,450035.0,5051379022481.0,Fresh & Easy,BBQ & Cheese Sauce,usda,107.0,2.5,25.0,10.04,23.25,Far line the organization live together brother lawyer.,100.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
14,43,2024-01-03,FI100018,1,food_item,5,169.0,23.94,39.63,46.81,ml,168.0,U100027,27,T100027,U100027,Sara Oneill,female,"time.struct_time(tm_year=1942, tm_mon=10, tm_mday=13, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=286, tm_isdst=-1)",vazquezamy@example.org,(773)257-2571x82758,5884,80527,1,69,116,81,1000027,1000027,do_not,restaurant,414,$5-$9.99,1,1447,0,1,1,https://placekitten.com/526/381,https://dummyimage.com/754x558,Australia/Sydney,1,18,FI100018,Chicken Curry,450018.0,5051379034725.0,"G. T. Japan, Inc.",Ice Cream & Frozen Yogurt,usda,165.0,0.0,25.0,29.71,16.27,Value kitchen bill degree.,100.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
15,73,2024-01-08,FI100081,1,food_item,7,202.0,42.31,36.25,43.25,1 medium,45.0,U100027,27,T100027,U100027,Sara Oneill,female,"time.struct_time(tm_year=1942, tm_mon=10, tm_mday=13, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=286, tm_isdst=-1)",vazquezamy@example.org,(773)257-2571x82758,5884,80527,1,69,116,81,1000027,1000027,do_not,restaurant,414,$5-$9.99,1,1447,0,1,1,https://placekitten.com/526/381,https://dummyimage.com/754x558,Australia/Sydney,1,81,FI100081,Grilled Salmon,450081.0,5051379020263.0,"G. T. Japan, Inc.",Ice Cream & Frozen Yogurt,usda,202.0,0.0,25.0,34.54,3.18,Pattern again thought his tax.,100.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
16,12,2024-01-04,FI100021,1,food_item,12,215.0,12.51,30.93,39.85,1 slice,19.0,U100071,71,T100071,U100071,Terry Edwards,male,"time.struct_time(tm_year=1922, tm_mon=9, tm_mday=26, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=269, tm_isdst=-1)",juliaferguson@example.com,(928)066-1392x769,7220,41049,0,63,68,92,1000071,1000071,do_not,restaurant,196,$5-$9.99,2,242,1,3,1,https://placekitten.com/49/949,https://picsum.photos/698/562,Asia/Damascus,1,21,FI100021,Sushi,450021.0,5051379031341.0,Fresh & Easy,BBQ & Cheese Sauce,usda,219.0,2.5,0.0,25.02,33.16,Structure wrong itself form floor behind.,100.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
17,90,2024-01-13,FI100021,1,food_item,2,177.0,6.89,16.95,9.34,1 medium,262.0,U100070,70,T100070,U100070,Eric Costa,male,"time.struct_time(tm_year=2006, tm_mon=6, tm_mday=21, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=172, tm_isdst=-1)",ochoajames@example.com,001-608-163-0520,14341,46239,1,61,40,105,1000070,1000070,do_not,home,365,Less than $5,1,898,0,3,0,https://placekitten.com/55/624,https://dummyimage.com/524x730,Europe/Kiev,1,21,FI100021,Sushi,450021.0,5051379031341.0,Fresh & Easy,BBQ & Cheese Sauce,usda,219.0,2.5,0.0,25.02,33.16,Structure wrong itself form floor behind.,100.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
18,14,2024-01-20,FI100067,1,food_item,11,292.0,46.84,24.46,22.6,1 medium,95.0,U100070,70,T100070,U100070,Eric Costa,male,"time.struct_time(tm_year=2006, tm_mon=6, tm_mday=21, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=172, tm_isdst=-1)",ochoajames@example.com,001-608-163-0520,14341,46239,1,61,40,105,1000070,1000070,do_not,home,365,Less than $5,1,898,0,3,0,https://placekitten.com/55/624,https://dummyimage.com/524x730,Europe/Kiev,1,67,FI100067,Tomato Soup,450067.0,5051379018382.0,Fresh & Easy,BBQ & Cheese Sauce,usda,139.0,0.0,25.0,49.2,23.9,Everything relate goal join describe artist expect.,100.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
19,45,2024-01-05,FI100066,1,food_item,14,92.0,2.68,4.99,46.86,1 slice,204.0,U100010,10,T100010,U100010,Elizabeth Lopez,female,"time.struct_time(tm_year=2013, tm_mon=11, tm_mday=17, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=6, tm_yday=321, tm_isdst=-1)",jamesnguyen@example.net,001-099-406-9684x5107,11790,28058,0,65,120,109,1000010,1000010,1_3_days,restaurant,423,Less than $5,3,242,1,3,1,https://placekitten.com/673/1014,https://picsum.photos/350/806,Asia/Hong_Kong,1,66,FI100066,Chocolate Cake,450066.0,5051379009790.0,Fresh & Easy,Ice Cream & Frozen Yogurt,usda,183.0,2.5,0.0,42.4,28.01,Involve maybe conference deep pick cultural.,100.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
20,54,2024-01-11,FI100038,1,food_item,12,101.0,36.73,49.73,49.48,gm,243.0,U100010,10,T100010,U100010,Elizabeth Lopez,female,"time.struct_time(tm_year=2013, tm_mon=11, tm_mday=17, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=6, tm_yday=321, tm_isdst=-1)",jamesnguyen@example.net,001-099-406-9684x5107,11790,28058,0,65,120,109,1000010,1000010,1_3_days,restaurant,423,Less than $5,3,242,1,3,1,https://placekitten.com/673/1014,https://picsum.photos/350/806,Asia/Hong_Kong,1,38,FI100038,Shrimp Scampi,450038.0,5051379029642.0,"G. T. Japan, Inc.",BBQ & Cheese Sauce,usda,214.0,0.0,25.0,23.43,18.51,Suddenly nearly early life.,100.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
21,55,2024-01-07,FI100051,1,food_item,1,216.0,37.14,5.4,37.14,ml,206.0,U100010,10,T100010,U100010,Elizabeth Lopez,female,"time.struct_time(tm_year=2013, tm_mon=11, tm_mday=17, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=6, tm_yday=321, tm_isdst=-1)",jamesnguyen@example.net,001-099-406-9684x5107,11790,28058,0,65,120,109,1000010,1000010,1_3_days,restaurant,423,Less than $5,3,242,1,3,1,https://placekitten.com/673/1014,https://picsum.photos/350/806,Asia/Hong_Kong,1,51,FI100051,Grilled Salmon,450051.0,5051379030400.0,Fresh & Easy,Ice Cream & Frozen Yogurt,usda,187.0,0.0,0.0,15.45,23.63,Factor admit pass happen yeah.,100.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
22,20,2024-01-15,FI100034,1,food_item,2,127.0,47.99,0.5,36.02,1 slice,134.0,U100013,13,T100013,U100013,Ashley Alexander,female,"time.struct_time(tm_year=1974, tm_mon=3, tm_mday=29, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=88, tm_isdst=-1)",icastillo@example.org,+1-946-490-2937x77870,1685,63494,1,68,64,82,1000013,0,do_not,restaurant,72,$5-$9.99,2,1461,1,1,0,https://dummyimage.com/73x672,https://picsum.photos/286/348,America/Managua,1,34,FI100034,Sushi,450034.0,5051379033714.0,Fresh & Easy,Ice Cream & Frozen Yogurt,usda,209.0,0.0,25.0,0.91,24.0,Enough someone consumer human tell.,100.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
23,27,2024-01-19,FI100064,1,food_item,2,169.0,44.5,11.79,12.68,1 medium,279.0,U100024,24,T100024,U100024,Bianca Copeland,female,"time.struct_time(tm_year=1942, tm_mon=9, tm_mday=16, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=259, tm_isdst=-1)",ewhitney@example.com,271-598-8488x454,19441,62230,0,68,51,53,0,1000024,1_3_days,restaurant,111,$5-$9.99,2,800,0,1,0,https://picsum.photos/843/438,https://placekitten.com/199/869,Asia/Beirut,1,64,FI100064,Beef Tacos,450064.0,5051379018476.0,Fresh & Easy,BBQ & Cheese Sauce,usda,157.0,0.0,25.0,35.85,47.5,Far able would represent.,100.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
24,30,2024-01-15,FI100064,1,food_item,10,192.0,22.62,24.62,14.55,gm,195.0,U100081,81,T100081,U100081,Dean Ashley,male,"time.struct_time(tm_year=1937, tm_mon=2, tm_mday=25, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=56, tm_isdst=-1)",megan70@example.org,384-114-0263x9824,1281,77330,1,65,130,109,1000081,0,1_3_days,restaurant,223,$5-$9.99,2,1159,0,2,0,https://placekitten.com/262/476,https://placekitten.com/706/365,Europe/Warsaw,1,64,FI100064,Beef Tacos,450064.0,5051379018476.0,Fresh & Easy,BBQ & Cheese Sauce,usda,157.0,0.0,25.0,35.85,47.5,Far able would represent.,100.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
25,29,2024-01-04,FI100016,1,food_item,11,184.0,18.31,37.01,24.86,gm,154.0,U100022,22,T100022,U100022,Ashley Smith,female,"time.struct_time(tm_year=1947, tm_mon=5, tm_mday=31, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=5, tm_yday=151, tm_isdst=-1)",vanessaclark@example.com,001-955-270-2036x0402,22888,65481,1,64,69,61,1000022,1000022,do_not,home,132,$5-$9.99,3,70,1,3,0,https://picsum.photos/44/594,https://dummyimage.com/35x103,America/Bahia,1,16,FI100016,Chocolate Cake,450016.0,5051379025881.0,"G. T. Japan, Inc.",BBQ & Cheese Sauce,usda,194.0,0.0,25.0,23.82,1.65,Reveal positive night site.,100.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
26,89,2024-01-16,FI100020,1,food_item,9,167.0,42.07,21.01,27.55,gm,177.0,U100081,81,T100081,U100081,Dean Ashley,male,"time.struct_time(tm_year=1937, tm_mon=2, tm_mday=25, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=56, tm_isdst=-1)",megan70@example.org,384-114-0263x9824,1281,77330,1,65,130,109,1000081,0,1_3_days,restaurant,223,$5-$9.99,2,1159,0,2,0,https://placekitten.com/262/476,https://placekitten.com/706/365,Europe/Warsaw,1,20,FI100020,Shrimp Scampi,450020.0,5051379013016.0,Fresh & Easy,BBQ & Cheese Sauce,usda,131.0,0.0,25.0,43.49,10.77,Low exist if economy kind.,100.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
27,31,2024-01-14,FI100033,1,food_item,6,176.0,48.03,40.56,28.37,1 medium,261.0,U100020,20,T100020,U100020,Claire Lindsey,female,"time.struct_time(tm_year=2009, tm_mon=12, tm_mday=30, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=364, tm_isdst=-1)",nathanielhenderson@example.com,(441)886-2425x296,2602,70075,0,71,97,53,0,1000020,1_3_days,home,14,Less than $5,3,1756,0,3,0,https://dummyimage.com/169x523,https://placekitten.com/821/633,America/Catamarca,1,33,FI100033,Caesar Salad,450033.0,5051379031325.0,Fresh & Easy,BBQ & Cheese Sauce,usda,112.0,0.0,25.0,17.26,0.42,Avoid rather way yeah analysis.,100.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
28,50,2024-01-07,FI100033,1,food_item,2,228.0,26.35,6.01,20.32,ml,160.0,U100054,54,T100054,U100054,Shelly Graham,female,"time.struct_time(tm_year=1983, tm_mon=12, tm_mday=4, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=6, tm_yday=338, tm_isdst=-1)",shawjennifer@example.com,001-023-783-0084x0588,15765,62109,1,60,137,107,0,1000054,1_3_days,home,420,$5-$9.99,2,877,1,1,1,https://picsum.photos/23/728,https://placekitten.com/360/557,America/St_Vincent,1,33,FI100033,Caesar Salad,450033.0,5051379031325.0,Fresh & Easy,BBQ & Cheese Sauce,usda,112.0,0.0,25.0,17.26,0.42,Avoid rather way yeah analysis.,100.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
29,33,2024-01-08,FI100077,1,food_item,9,207.0,38.63,32.8,36.38,gm,81.0,U100063,63,T100063,U100063,Michael Arnold,male,"time.struct_time(tm_year=1942, tm_mon=3, tm_mday=13, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=72, tm_isdst=-1)",carlamckenzie@example.com,533-931-0485,3242,63210,1,67,115,90,0,1000063,do_not,home,313,Less than $5,4,1233,1,1,1,https://placekitten.com/598/41,https://placekitten.com/617/620,Europe/Oslo,1,77,FI100077,Mango Sorbet,450077.0,5051379030514.0,"G. T. Japan, Inc.",Ice Cream & Frozen Yogurt,usda,100.0,2.5,0.0,29.66,5.02,Once simple campaign young record.,100.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
30,64,2024-01-11,FI100043,1,food_item,4,150.0,17.58,26.3,11.81,1 medium,281.0,U100063,63,T100063,U100063,Michael Arnold,male,"time.struct_time(tm_year=1942, tm_mon=3, tm_mday=13, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=72, tm_isdst=-1)",carlamckenzie@example.com,533-931-0485,3242,63210,1,67,115,90,0,1000063,do_not,home,313,Less than $5,4,1233,1,1,1,https://placekitten.com/598/41,https://placekitten.com/617/620,Europe/Oslo,1,43,FI100043,Cheese Sandwich,450043.0,5051379028553.0,Fresh & Easy,BBQ & Cheese Sauce,usda,182.0,0.0,25.0,46.72,23.24,Style teacher score television everyone there throw.,100.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
31,44,2024-01-11,FI100054,1,food_item,12,180.0,7.26,46.52,45.32,gm,110.0,U100074,74,T100074,U100074,Preston Miller,male,"time.struct_time(tm_year=1921, tm_mon=9, tm_mday=5, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=248, tm_isdst=-1)",karen26@example.org,(357)531-2794x12704,9610,30801,1,69,104,67,0,0,1_3_days,restaurant,401,$5-$9.99,4,405,1,3,0,https://placekitten.com/677/942,https://picsum.photos/123/30,Pacific/Marquesas,1,54,FI100054,Ice Cream,450054.0,5051379025524.0,"G. T. Japan, Inc.",BBQ & Cheese Sauce,usda,184.0,2.5,25.0,46.73,8.07,Baby yourself whatever stage summer.,100.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
32,49,2024-01-07,FI100054,1,food_item,5,92.0,1.18,32.48,40.48,gm,236.0,U100064,64,T100064,U100064,Richard Pratt,male,"time.struct_time(tm_year=2012, tm_mon=4, tm_mday=26, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=117, tm_isdst=-1)",adamsrichard@example.org,607-438-9530,14063,84593,0,66,69,55,1000064,1000064,1_3_days,home,429,$5-$9.99,4,250,1,1,0,https://placekitten.com/483/526,https://dummyimage.com/357x12,Pacific/Palau,1,54,FI100054,Ice Cream,450054.0,5051379025524.0,"G. T. Japan, Inc.",BBQ & Cheese Sauce,usda,184.0,2.5,25.0,46.73,8.07,Baby yourself whatever stage summer.,100.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
33,79,2024-01-11,FI100054,1,food_item,13,128.0,6.11,2.03,47.62,ml,162.0,U100073,73,T100073,U100073,Jerome Johnston,male,"time.struct_time(tm_year=1969, tm_mon=1, tm_mday=20, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=20, tm_isdst=-1)",iparker@example.com,+1-758-139-6480,23055,48040,0,66,139,110,0,0,1_3_days,home,85,$5-$9.99,1,645,1,1,0,https://picsum.photos/797/395,https://placekitten.com/342/129,Europe/Samara,1,54,FI100054,Ice Cream,450054.0,5051379025524.0,"G. T. Japan, Inc.",BBQ & Cheese Sauce,usda,184.0,2.5,25.0,46.73,8.07,Baby yourself whatever stage summer.,100.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
